"구","동","계약년월","p1","p2"
"성북구","보문동6가","202408",89558.3333333333,5110.90068411246
"성북구","보문동6가","202409",95800,4494.8453231365
"성북구","보문동6가","202410",97250,5421.94627470857
"성북구","보문동6가","202411",89250,4653.24381990389
"성북구","보문동6가","202501",92375,5448.75802954718
"성북구","보문동6가","202502",86550,4450.56705712576
"성북구","보문동6가","202503",94730.7692307692,4932.5034572532
"성북구","보문동6가","202504",101416.666666667,4391.9166224776
"성북구","보문동6가","202505",93371.4285714286,5119.6455479125
"성북구","보문동6가","202506",101300,5243.43845291145
"성북구","보문동7가","202409",66000,3631.21040346782
"성북구","삼선동2가","202401",68125,3904.50232223257
"성북구","삼선동2가","202402",82100,3194.62879191648
"성북구","삼선동2가","202403",74166.6666666667,3423.79031614187
"성북구","삼선동2가","202404",83500,2947.34674938068
"성북구","삼선동2가","202405",79689.2857142857,3266.06580413207
"성북구","삼선동2가","202406",80380,3204.01799842636
"성북구","삼선동2가","202407",79685.7142857143,3440.84203951285
"성북구","삼선동2가","202408",76833.3333333333,3813.07162132038
"성북구","삼선동2가","202409",76650,3941.58318672367
"성북구","삼선동2가","202410",85000,3306.61322645291
"성북구","삼선동2가","202411",77916.6666666667,3857.04538726668
"성북구","삼선동2가","202412",77166.6666666667,3795.65931647429
"성북구","삼선동2가","202501",90500,2814.83456381993
"성북구","삼선동2가","202502",78950,3597.12729405458
"성북구","삼선동2가","202503",79566.6666666667,3524.76163740467
"성북구","삼선동2가","202504",84064.2857142857,3506.59863883138
"성북구","삼선동2가","202505",82723.0769230769,3468.92609787662
"성북구","삼선동2가","202506",83341.6666666667,3379.13624764089
"성북구","삼선동3가","202402",84000,3263.09593878752
"성북구","삼선동3가","202403",121166.666666667,4157.93369523628
"성북구","삼선동3가","202404",130000,4280.98844423993
"성북구","삼선동3가","202405",55000,2136.04801694716
"성북구","삼선동3가","202406",115500,4486.75691583284
"성북구","삼선동3가","202407",129100,4402.67175562168
"성북구","삼선동3가","202408",105000,4580.64513168707
"성북구","삼선동3가","202409",115000,4467.33372572101
"성북구","삼선동3가","202410",153000,4320.55450966969
"성북구","삼선동3가","202502",102250,4765.16145404937
"성북구","삼선동3가","202504",123000,4778.38603103558
"성북구","삼선동3가","202505",102000,5612.8064032016
"성북구","삼선동3가","202506",142500,4601.8984878589
"성북구","삼선동4가","202403",64000,3523.52352352352
"성북구","삼선동4가","202405",85700,3332.27288794627
"성북구","삼선동4가","202406",81000,3731.71687063522
"성북구","삼선동4가","202408",90500,3640.19191605399
"성북구","삼선동4가","202411",71400,2051.72413793103
"성북구","삼선동4가","202502",84333.3333333333,3279.13279132791
"성북구","삼선동4가","202504",69750,3840.09009009009
"성북구","삼선동4가","202505",69000,3798.7987987988
"성북구","삼선동4가","202506",74700,3831.21881160057
"성북구","삼선동5가","202407",47000,2005.43056633049
"성북구","삼선동5가","202408",49000,1809.9395567495
"성북구","삼선동5가","202504",50000,2200
"성북구","상월곡동","202401",61760,3005.6561001253
"성북구","상월곡동","202402",60100,3073.23167485988
"성북구","상월곡동","202403",67000,2602.09485700836
"성북구","상월곡동","202404",65100,2748.26094720692
"성북구","상월곡동","202405",62966.6666666667,3079.74924771074
"성북구","상월곡동","202406",63806.25,3039.70941319332
"성북구","상월곡동","202407",62112.5,2931.91788387684
"성북구","상월곡동","202408",67180,2994.52689724274
"성북구","상월곡동","202409",66833.3333333333,3281.78752781608
"성북구","상월곡동","202410",61750,3095.17066465984
"성북구","상월곡동","202411",69966.6666666667,2925.01863204078
"성북구","상월곡동","202412",65050,2862.77757504014
"성북구","상월곡동","202501",62270,3197.54380661064
"성북구","상월곡동","202502",62750,2686.58729698816
"성북구","상월곡동","202503",68375,3036.19887281209
"성북구","상월곡동","202504",63787.5,3362.32169907782
"성북구","상월곡동","202505",65812.5,3064.38803719302
"성북구","상월곡동","202506",62295.4545454545,3231.37494247207
"성북구","상월곡동","202507",75000,2912.79275038249
"성북구","석관동","202401",77400,3703.20202254728
"성북구","석관동","202402",74891.6666666667,3405.84857087632
"성북구","석관동","202403",67065.2173913044,3225.52283822433
"성북구","석관동","202404",76420,3392.71234651562
"성북구","석관동","202405",69636.3636363636,3560.94969309472
"성북구","석관동","202406",77848.275862069,3953.02121954789
"성북구","석관동","202407",81664,3741.52999043125
"성북구","석관동","202408",74357.1428571429,3707.96188308265
"성북구","석관동","202409",87500,3904.72032817094
"성북구","석관동","202410",70465,3307.20883976067
"성북구","석관동","202411",71858.4166666667,3052.30488447747
